127.0.0.1 - - [21/May/2025:14:28:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/May/2025:14:28:57 +0900] "GET /tripin/index.jsp HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [21/May/2025:14:28:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2025:14:29:00 +0900] "GET /tripin/place_list.do HTTP/1.1" 200 1601895
0:0:0:0:0:0:0:1 - - [21/May/2025:14:29:00 +0900] "GET /tripin/resources/img/tripin_logo.png HTTP/1.1" 200 64283
0:0:0:0:0:0:0:1 - - [21/May/2025:14:29:00 +0900] "GET /tripin/resources/css/css_place_list.css HTTP/1.1" 200 9137
0:0:0:0:0:0:0:1 - - [21/May/2025:14:29:00 +0900] "GET /tripin/resources/js/place_list.js HTTP/1.1" 200 6284
0:0:0:0:0:0:0:1 - - [21/May/2025:14:29:05 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:41 +0900] "POST /tripin/place_list/updateViewCnt HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:41 +0900] "GET /tripin/place_list.do?theme=%EC%9E%90%EC%97%B0&sort=%EC%9D%B8%EA%B8%B0%EC%88%9C HTTP/1.1" 200 103655
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:41 +0900] "GET /tripin/place_list/json?theme_id=1 HTTP/1.1" 200 87888
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:41 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:42 +0900] "POST /tripin/place_list/updateViewCnt HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:42 +0900] "GET /tripin/place_list/json?theme_id=2 HTTP/1.1" 200 1051715
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:43 +0900] "GET /tripin/place_list.do?theme=%EB%AC%B8%ED%99%94&sort=%EC%9D%B8%EA%B8%B0%EC%88%9C HTTP/1.1" 200 1137233
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:43 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:43 +0900] "GET /tripin/resources/css/css_place_list.css HTTP/1.1" 200 9137
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:43 +0900] "GET /tripin/resources/js/place_list.js HTTP/1.1" 200 6284
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:43 +0900] "GET /tripin/resources/img/tripin_logo.png HTTP/1.1" 200 64283
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:53 +0900] "GET /tripin/place_list/json?theme_id=7 HTTP/1.1" 200 14602
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:53 +0900] "POST /tripin/place_list/updateViewCnt HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:53 +0900] "GET /tripin/place_list.do?theme=%EC%B6%95%EC%A0%9C&sort=%EC%9D%B8%EA%B8%B0%EC%88%9C HTTP/1.1" 200 19930
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:53 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:54 +0900] "GET /tripin/place_list/json?theme_id=6 HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:54 +0900] "POST /tripin/place_list/updateViewCnt HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:54 +0900] "GET /tripin/place_list.do?theme=%EC%87%BC%ED%95%91&sort=%EC%9D%B8%EA%B8%B0%EC%88%9C HTTP/1.1" 200 11040
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:54 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:54 +0900] "POST /tripin/place_list/updateViewCnt HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:54 +0900] "GET /tripin/place_list/json?theme_id=2 HTTP/1.1" 200 1051715
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:54 +0900] "GET /tripin/place_list.do?theme=%EB%AC%B8%ED%99%94&sort=%EC%9D%B8%EA%B8%B0%EC%88%9C HTTP/1.1" 200 1137233
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:55 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:57 +0900] "POST /tripin/place_list/updateViewCnt HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:57 +0900] "GET /tripin/place_list/json?theme_id=3 HTTP/1.1" 200 208029
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:57 +0900] "GET /tripin/place_list.do?theme=%EB%A0%88%EC%A0%80&sort=%EC%9D%B8%EA%B8%B0%EC%88%9C HTTP/1.1" 200 232554
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:57 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:58 +0900] "POST /tripin/place_list/updateViewCnt HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [21/May/2025:14:32:58 +0900] "GET /tripin/place_list/json?theme_id=4 HTTP/1.1" 200 1041
